WLMEAS.pro for PN em line positions 31-May-2013 12:50:17.00
 ROOT      STAR   GRAT X_0-ORD Y_0-ORD ORD    9071    9535   10832   12821   16113   16411
ic6907cfq PN-G045 G141  415.00  140.11  2     0.00    0.00  882.29  969.07    0.00    0.00
ic6907cgq PN-G045 G102  349.03  136.00  1   718.89  738.34  792.35    0.00    0.00    0.00
ic6907ciq PN-G045 G141  417.13  391.35 -1     0.00    0.00  186.27  144.87   79.71   69.60
ic6907ciq PN-G045 G141  417.13  391.35  1     0.00    0.00  646.99  689.74  761.00  767.46
ic6907ciq PN-G045 G141  417.13  391.35  2     0.00    0.00  877.32  962.75    0.00    0.00
ic6907ckq PN-G045 G102  352.16  387.61  1   716.47  735.49  788.97    0.00    0.00    0.00
ic6907cmq PN-G045 G141  421.28  963.33 -1     0.00    0.00  198.04  158.06   91.44   85.52
ic6907cmq PN-G045 G141  421.28  963.33  1     0.00    0.00  643.41  684.99  753.99  760.14
ic6907cmq PN-G045 G141  421.28  963.33  2     0.00    0.00  866.30  948.81    0.00    0.00
ic6907coq PN-G045 G102  358.64  959.87  1   710.65  729.27  780.89    0.00    0.00    0.00
